month_date,bin,job_typeid,ownership_id,borough,date_filed,date_completed,time_of_completion
2016-06-01,2124541,1,1,Bronx,2014-03-17,2016-06-23,829
2016-08-01,2129579,1,1,Bronx,2014-03-17,2016-08-17,884
2019-05-01,2129389,1,1,Bronx,2014-02-27,2019-05-01,1889
2019-10-01,2129388,1,1,Bronx,2014-02-27,2019-10-24,2065
2016-11-01,2126049,1,1,Bronx,2014-02-24,2016-11-18,998
2017-06-01,2129423,1,1,Bronx,2014-02-26,2017-06-29,1219
2019-11-01,2124246,1,1,Bronx,2014-11-19,2019-11-29,1836
2017-12-01,2128376,1,1,Bronx,2014-04-08,2017-12-05,1337
2017-12-01,2124630,1,1,Bronx,2014-04-08,2017-12-06,1338
2017-12-01,2124631,1,1,Bronx,2014-04-08,2017-12-06,1338
2019-09-01,2124618,1,1,Bronx,2014-03-05,2019-09-09,2014
2019-09-01,2124619,1,1,Bronx,2014-03-05,2019-09-09,2014
2016-07-01,2129331,1,1,Bronx,2014-03-13,2016-07-08,848
2017-01-01,2129325,1,1,Bronx,2014-09-11,2017-01-30,872
2016-08-01,2127009,1,1,Bronx,2014-10-16,2016-08-31,685
2018-12-01,2128985,1,1,Bronx,2014-10-16,2018-12-31,1537
2017-02-01,2127047,1,1,Bronx,2014-04-08,2017-02-16,1045
2016-10-01,2124643,1,1,Bronx,2014-04-16,2016-10-24,922
2016-08-01,2124644,1,1,Bronx,2014-04-16,2016-08-31,868
2016-10-01,2124642,1,1,Bronx,2014-04-16,2016-10-24,922
2016-10-01,2128263,1,1,Bronx,2014-04-16,2016-10-27,925
2017-04-01,2124658,1,1,Bronx,2014-05-21,2017-04-11,1056
2017-06-01,2128212,1,1,Bronx,2014-10-06,2017-06-01,969
2016-08-01,2124645,1,1,Bronx,2014-04-16,2016-08-31,868
2016-02-01,2129073,1,1,Bronx,2014-06-18,2016-02-16,608
2018-08-01,2124446,1,1,Bronx,2014-07-15,2018-08-23,1500
2016-06-01,2124647,1,1,Bronx,2014-05-01,2016-06-03,764
